originating_system_id,dc:title,dcterms:alternative,dc:relation,compoundrelationship,group_id,collection_id,dc:type,mms_id,file_name_1,dc:identifier,dcterms:identifier.dcterms:URI,dc:creator,dc:contributor,dcterms:tableOfContents,dc:subject,dcterms:subject.dcterms:LCSH,dc:description,dcterms:provenance,dcterms:bibliographicCitation,dcterms:abstract,dcterms:publisher,dc:date,dcterms:created,dcterms:issued,dcterms:dateSubmitted,dcterms:dateAccepted,dc:format,dcterms:extent,dcterms:medium,dcterms:format.dcterms:IMT,dcterms:type.dcterms:DCMIType,dc:language,dcterms:isPartOf,dc:coverage,dcterms:spatial,dcterms:spatial.dcterms:Point,dcterms:temporal,dc:rights,dc:source,bib custom field,rep_label,rep_public_note,rep_access_rights,rep_usage_type,rep_library,rep_note,rep_custom field,file_label_1,file_name_2,file_label_2,googlesheetsource,dginfo,oldalttitle
dg_1779313074,"Humanities and Social Studies Center (HSSC), 2019, Photograph 1",,,,,,Image,,1D3A1226.jpg,,,"Hayworth, Justin",,,Humanities and Social Studies Center | HSSC | Campus | Buildings | Broken English,,"A view of the front of the Humanities and Social Studies Center (HSSC) with the sculpture ""Broken English"" created by Gregory Gómez, class of 1980.",Office of Communications,,,,,2019-10-15,,,,Photograph,1 photograph,,,,,,,,,,,,,,,,,,,,,,,,,
dg_1779313414,Gates Tower,,,,,,Image,,20120823IPOPacademic02.jpg,,,"Hayworth, Justin",,,Gates Tower | North Campus | Campus | Buildings,,A view of Gates Tower and North Campus dormitories from Mac Field. ,Office of Communications,,,,,2012-08-22,,,,Photograph,1 photograph,,,,,,,,,,,,,,,,,,,,,,,,,
dg_1779313532,Alumni Recitation Hall ,,,,,,Image,,20140502arhcarnegie011.jpg,,,"Hayworth, Justin",,,Alumni Recitation Hall | ARH | Campus | Buildings,,Details from the front of Alumni Recitation Hall (ARH).,Office of Communications,,,,,2014-05-02,,,,Photograph,1 photograph,,,,,,,,,,,,,,,,,,,,,,,,,
dg_1779313735,Carnegie Hall,,,,,,Image,,20140707campus142.jpg,,,"Hayworth, Justin",,,Carnegie Hall | Campus | Buildings ,,The front of Carngie Hall.,Office of Communications,,,,,2014-07-07,,,,Photograph,1 photograph,,,,,,,,,,,,,,,,,,,,,,,,,
dg_1779313793,Mac Field and North Campus,,,,,,Image,,20150401spring005.jpg,,,"Hayworth, Justin",,,North Campus | Campus | Buildings | Dormitories,,Two students laying on Mac Field in front of North Campus,Office of Communications,,,,,2015-04-01,,,,Photograph,1 photograph,,,,,,,,,,,,,,,,,,,,,,,,,
dg_1779402758,"Move-In Day, 2016, Photograph 1",,,,,,Image,,20160819movein060.jpg,,,"Hayworth, Justin",,,North Campus | Gates Tower | Gates Hall | Rawson Hall | Campus | Buildings | Dormitories,,"Three people stand in front of Gates Tower on North Campus on Move-In Day, August 19, 2016.",Office of Communications,,,,,2016-08-19,,,,Photograph,1 photograph,,,,,,,,,,,,,,,,,,,,,,,,,
dg_1779403244,"Move-In Day, 2016, Photograph 2",,,,,,Image,,20160819movein208.jpg,,,"Hayworth, Justin",,,North Campus | Dormitories,,Two people walk towards a dormitory building on North Campus.,Office of Communications,,,,,2016-08-19,,,,Photograph,1 photograph,,,,,,,,,,,,,,,,,,,,,,,,,
dg_1779403412,"Move-In Day, 2016, Photograph 3",,,,,,Image,,20160819movein220.jpg,,,"Hayworth, Justin",,,Harris Center | North Campus | Campus | Buildings  | Dormitories,,"A photograph of the Harris Center on Move-In Day, August 19, 2016.",Office of Communications,,,,,2016-08-19,,,,Photograph,1 photograph,,,,,,,,,,,,,,,,,,,,,,,,,
dg_1779404196,"Move-In Day, 2016, Photograph 4",,,,,,Image,,20160819movein392.jpg,,,"Hayworth, Justin",,,North Campus | Campus | Buildings | Dormitories,,"A view through the loggia of Younker Hall with the Alumni Recitation Hall (ARH) in the background. August 19, 2016.",Office of Communications,,,,,2016-08-19,,,,Photograph,1 photograph,,,,,,,,,,,,,,,,,,,,,,,,,
dg_1779404639,"Burling Library, 2018",,,,,,Image,,20180226.campus.burling014.jpg,,,"Hayworth, Justin",,,Burling Library | Library | Campus | Buildings,,"A group of students sitting at the tables on the deck of Burling Library are reflected in the windows. February 26, 2018.",Office of Communications,,,,,2018-02-26,,,,Photograph,1 photograph,,,,,,,,,,,,,,,,,,,,,,,,,
dg_1779404913,"East Campus, 2018",,,,,,Image,,20180917.loggias.213.jpg,,,"Hayworth, Justin",,,East Campus | Train | Campus | Buildings,,"A view of East Campus with a train traveling through campus. September 17, 2018.",Office of Communications,,,,,2018-09-17,,,,Photograph,1 photograph,,,,,,,,,,,,,,,,,,,,,,,,,
dg_1779405038,"Noyce Science Center, 2019, Photograph 2",,,,,,Image,,20190502.campus.spring.107.jpg,,,"Hayworth, Justin",,,Noyce Science Center | Noyce | Campus | Buildings ,,"Noyce Science Center with Eastern redbud trees in bloom. May 2, 2019.",Office of Communications,,,,,2019-05-02,,,,Photograph,1 photograph,,,,,,,,,,,,,,,,,,,,,,,,,
dg_1779405262,"Noyce Science Center, 2019, Photograph 2",,,,,,Image,,20190510.noyce.library.windows.029.jpg,,,"Hayworth, Justin",,,Noyce Science Center | Noyce | Campus | Buildings ,,"A view of the Kistle Science Library windows in the Noyce Science Center from outside the buidling on 8th Avenue. May 10, 2019.",Office of Communications,,,,,2019-05-10,,,,Photograph,1 photograph,,,,,,,,,,,,,,,,,,,,,,,,,
dg_1779405405,"Humanities and Social Studies Center (HSSC), 2019, Photograph 2",,,,,,Image,,20190701.hssc.125.jpg,,,"Hayworth, Justin",,,Humanities and Social Studies Center | HSSC | Campus | Buildings Humanities and Social Studies Center,," Central campus looking at the Humanities and Social Studies Center (HSSC). TheGrinnell College logo is on the sidewalk. July 1, 2019.",Office of Communications,,,,,2019-07-01,,,,Photograph,1 photograph,,,,,,,,,,,,,,,,,,,,,,,,,
dg_1779405734,"Bucksbaum Center for the Arts, 2019",,,,,,Image,,20190715.bucksbaum.03.jpg,,,"Hayworth, Justin",,,Bucksbaum Center for the Arts | Bucksbaum | Campus | Buildings,,"The front of the Bucksbaum Center for the Arts with purple cone flowers. July 15, 2019.",Office of Communications,,,,,2019-07-01,,,,Photograph,1 photograph,,,,,,,,,,,,,,,,,,,,,,,,,
dg_1779405856,"The Forum, 2019",,,,,,Image,,20190715.forum.06.jpg,,,"Hayworth, Justin",,,Forum | The Forum | Central Campus | Campus | Buildings,,"A photograph of the Froum taken from central campus. July 15, 2019.",Office of Communications,,,,,2019-07-15,,,,Photograph,1 photograph,,,,,,,,,,,,,,,,,,,,,,,,,
dg_1779405934,"Noyce Science Center, 2019, Photograph 3",,,,,,Image,,20190829.first.day.134.jpg,,,"Hayworth, Justin",,,Noyce Science Center | Noyce | Campus | Buildings ,,"A view of the Kistle Science Library windows in the Noyce Science Center from outside the buidling on 8th Avenue. A student is walking in front of the building. August 29, 2019.",Office of Communications,,,,,2019-08-29,,,,Photograph,1 photograph,,,,,,,,,,,,,,,,,,,,,,,,,
dg_1779406052,"Humanities and Social Studies Center (HSSC), 2019, Photograph 3",,,,,,Image,,20190829.first.day.200.jpg,,,"Hayworth, Justin",,,Humanities and Social Studies Center | HSSC | Campus | Buildings,,"Students walk through central campus with the Humanities and Social Studies Center (HSSC) behind them. August 29, 2019.",Office of Communications,,,,,2019-08-29,,,,Photograph,1 photograph,,,,,,,,,,,,,,,,,,,,,,,,,
dg_1779461935,"Humanities and Social Studies Center (HSSC), 2019, Photograph 4",,,,,,Image,,20190927.hssc.atrium.013.jpg,,,"Hayworth, Justin",,,Humanities and Social Studies Center | HSSC | Campus | Buildings,,"The atrium and interior of the Humanities and Social Studies Center (HSSC). September 27, 2019.",Office of Communications,,,,,2019-09-27,,,,Photograph,1 photograph,,,,,,,,,,,,,,,,,,,,,,,,,
dg_1779462132,"Humanities and Social Studies Center (HSSC), 2019, Photograph 5",,,,,,Image,,20190927.hssc.gates.007.jpg,,,"Hayworth, Justin",,,Humanities and Social Studies Center | HSSC | Campus | Buildings,,"The atrium and interior of the third floor of the Humanities and Social Studies Center (HSSC). September 27, 2019.",Office of Communications,,,,,2019-09-27,,,,Photograph,1 photograph,,,,,,,,,,,,,,,,,,,,,,,,,
dg_1779462292,North Campus Reflection,,,,,,Image,,20190927.hssc.gates.155.jpg,,,"Hayworth, Justin",,,Harris Center | North Campus | Campus | Buildings | Dormitories,,"A window reflection image of the arch outside of the Harris Center looking towards the North Campus dormitories. September 27, 2019.",Office of Communications,,,,,2019-09-27,,,,Photograph,1 photograph,,,,,,,,,,,,,,,,,,,,,,,,,
dg_1779462402,Main Hall and Mears Hall,,,,,,Image,,20191028.fall.collor.campus.331.jpg,,,"Hayworth, Justin",,,Main Hall | Mears Hall | South Campus | Campus | Buildings,,"A photograph of Main Hall and Mears Hall taken from underneath a large tree with fall foliage. October 28, 2019.",Office of Communications,,,,,2019-10-28,,,,Photograph,1 photograph,,,,,,,,,,,,,,,,,,,,,,,,,
dg_1779463684,"Goodnow Hall, 2019, Photograph 1",,,,,,Image,,20191203.campus.070.jpg,,,"Hayworth, Justin",,,Goodnow Hall | Campus | Buildings,,"The exterior of Goodnow Hall. December 3, 2019",Office of Communications,,,,,2019-12-03,,,,Photograph,1 photograph,,,,,,,,,,,,,,,,,,,,,,,,,
dg_1779464590,"Goodnow Hall, 2019, Photograph 2",,,,,,Image,,20191205.parkst.exteriors.049.jpg,,,"Hayworth, Justin",,,Goodnow Hall | Campus | Buildings,,"The exterior of Goodnow Hall. December 5, 2019",Office of Communications,,,,,2019-12-05,,,,Photograph,1 photograph,,,,,,,,,,,,,,,,,,,,,,,,,
dg_1779465285,"Humanities and Social Studies Center (HSSC), 2019, Photograph 6",,,,,,Image,,20191205.warm.weather.070.jpg,,,"Hayworth, Justin",,,Humanities and Social Studies Center | HSSC | Campus | Buildings | Students,,"Two students sit on benches on Kington Plaza in front of the Humanities and Social Studies Center (HSSC). December 5, 2019.",Office of Communications,,,,,2019-12-05,,,,Photograph,1 photograph,,,,,,,,,,,,,,,,,,,,,,,,,
dg_1779465401,"Harris Center, 2019",,,,,,Image,,BOTfall2019ppt054.jpg,,,"Hayworth, Justin",,,Harris Center | North Campus | Campus | Buildings | Students,,"Students outside of the Harris Center. September 4, 2019.",Office of Communications,,,,,,,,,Photograph,1 photograph,,,,,,,,,,,,,,,,,,,,,,,,,
dg_1779468377,"Humanities and Social Studies Center (HSSC), 2019, Photograph 7",,,,,,Image,,DSC_3381.jpg,,,"Hayworth, Justin",,,Humanities and Social Studies Center | HSSC | Campus | Buildings | Broken English,,"A view of the front of the Humanities and Social Studies Center (HSSC) with the sculpture ""Broken English"" created by Gregory Gómez, class of 1980. October 15, 2019.",Office of Communications,,,,,2019-10-15,,,,Photograph,1 photograph,,,,,,,,,,,,,,,,,,,,,,,,,
dg_1779468711,"East Campus, 2022",,,,,,Image,,East campus fall color.jpg,,,"Hayworth, Justin",,,East Campus | Campus | Buildings,,"East Campus with fall foliage. October 25, 2022.",Office of Communications,,,,,2022-10-25,,,,Photograph,1 photograph,,,,,,,,,,,,,,,,,,,,,,,,,
dg_1779468938,"East Campus Loggia, 2018",,,,,,Image,,East campus loggia.jpg,,,"Hayworth, Justin",,,East Campus | Campus | Buildings | Students,,"Three students walk through the East Campus loggia. September 17, 2018.",Office of Communications,,,,,2018-09-17,,,,Photograph,1 photograph,,,,,,,,,,,,,,,,,,,,,,,,,
dg_1779469005,"East Campus Loggia, 2015",,,,,,Image,,FEB16trustee38.jpg,,,"Hayworth, Justin",,,East Campus | Campus | Buildings | Students,,"A student walks towards the East Campus loggia. November 3, 2015.",Office of Communications,,,,,2015-11-03,,,,Photograph,1 photograph,,,,,,,,,,,,,,,,,,,,,,,,,
dg_1779469088,"Gates Tower and Comet NEOWISE, 2020",,,,,,Image,,Gates Rawson tower Neowise comet.jpg,,,"Hayworth, Justin",,,North Campus | Gates Tower | Gates Hall | Rawson Hall | Campus | Buildings | Dormitories | Comet NEOWISE,,"Gates Tower and North Campus dormitories with Comet NEOWISE seen overhead. July 22, 2020",Office of Communications,,,,,2020-07-22,,,,Photograph,1 photograph,,,,,,,,,,,,,,,,,,,,,,,,,
dg_1779479340,Rainbow Over Gates Tower,,,,,,Image,,Gates Rawson tower prairie rainbow.jpg,,,"Hayworth, Justin",,,North Campus | Gates Tower | Gates Hall | Rawson Hall | Campus | Buildings | Dormitories ,,"A rainbow arcs across the sky above Gates Tower and North Campus. August 2, 2022. ",Office of Communications,,,,,2022-08-02,,,,Photograph,1 photograph,,,,,,,,,,,,,,,,,,,,,,,,,
dg_1779479767,"Humanities and Social Studies Center (HSSC), 2022, Photograph 1",,,,,,Image,,HSSC bicycle.jpg,,,"Hayworth, Justin",,,Humanities and Social Studies Center | HSSC | Campus | Buildings ,,"A student rides a bike in front of the Humanities and Social Studies Center (HSSC). August 24, 2022.",Office of Communications,,,,,2022-08-24,,,,Photograph,1 photograph,,,,,,,,,,,,,,,,,,,,,,,,,
dg_1779480119,"Humanities and Social Studies Center (HSSC), 2022, Photograph 2",,,,,,Image,,HSSC shadows.jpg,,,"Hayworth, Justin",,,Humanities and Social Studies Center | HSSC | Campus | Buildings ,,"Shadows on the atrium walls in the Humanities and Social Studies Center (HSSC). September 19, 2022.",Office of Communications,,,,,2022-09-19,,,,Photograph,1 photograph,,,,,,,,,,,,,,,,,,,,,,,,,
dg_1780003853,"Kershaw Hall Exterior, 2022",,,,,,Image,,Kershaw Hall fall color.jpg,,,"Hayworth, Justin",,,Kershaw Hall | Campus | Buildings | Dormitories,,"The exterior of Kershaw Hall over the loggia. October 25, 2022.",Office of Communications,,,,,2022-10-25,,,,Photograph,1 photograph,,,,,,,,,,,,,,,,,,,,,,,,,
dg_1780004335,"Humanities and Social Studies Center (HSSC), 2019, Photograph 8",,,,,,Image,,Kington Plaza.jpg,,,"Hayworth, Justin",,,Humanities and Social Studies Center | HSSC | Campus | Buildings | Students,,"Two students sit on benches on Kington Plaza in front of the Humanities and Social Studies Center (HSSC). December 5, 2019.",Office of Communications,,,,,2019-12-05,,,,Photograph,1 photograph,,,,,,,,,,,,,,,,,,,,,,,,,
dg_1780004553,"Mears Hall, 2021",,,,,,Image,,Mears in the fall.jpg,,,"Hayworth, Justin",,,Mears Hall | Campus | Buildings | South Campus,,"Mears Hall with fall foliage. November 1, 2021.",Office of Communications,,,,,2021-11-01,,,,Photograph,1 photograph,,,,,,,,,,,,,,,,,,,,,,,,,
dg_1780005078,"Norris Hall, 2023",,,,,,Image,,Norris dorm.jpg,,,"Hayworth, Justin",,,Norris Hall |  Campus | Buildings | South Campus,,"Norris Hall after the 2023 renovation. The decorative perforated steel panel on the front of the building features prairie plants. June 22, 2023.",Office of Communications,,,,,2023-06-22,,,,Photograph,1 photograph,,,,,,,,,,,,,,,,,,,,,,,,,
dg_1780005099,"Noyce Science Center, 2023",,,,,,Image,,Noyce Courtyard reflections .jpg,,,"Hayworth, Justin",,,Noyce Science Center | Noyce | Campus | Buildings ,,"Reflections of the windows of the Noyce Science Center courtyard. April 7, 2023.",Office of Communications,,,,,2023-04-07,,,,Photograph,1 photograph,,,,,,,,,,,,,,,,,,,,,,,,,
dg_1780006107,"Steiner Hall, 2018",,,,,,Image,,Steiner Hall west side.jpg,,,"Hayworth, Justin",,,Steiner Hall |  Campus | Buildings ,,"A photograph of  the front of Steiner Hall taken from Park Street. July 17, 2018.",Office of Communications,,,,,2018-07-17,,,,Photograph,1 photograph,,,,,,,,,,,,,,,,,,,,,,,,,